ANO_ELEICAO;CD_TIPO_ELEICAO;NR_TURNO;TP_ABRANGENCIA;ID_UF;CD_CARGO;NR_CANDIDATO;NM_URNA_CANDIDATO;NR_PARTIDO
2022;2;1;ESTADUAL;1;7;27456;EDEMILDES PAULINO;27
2022;2;1;ESTADUAL;23;6;7089;CRISTINE SOARES;70
2022;2;1;ESTADUAL;19;7;13031;DARA SANT ANNA;13
2022;2;1;ESTADUAL;26;7;50600;EDMILSON;50
2022;2;1;ESTADUAL;19;7;44888;BRUNO DAUAIRE;44
2022;2;1;ESTADUAL;8;6;2828;CLAUDIA MENDES;28
2022;2;1;ESTADUAL;20;7;40013;ZECA DA SILVA;40
2022;2;1;ESTADUAL;26;6;1323;LILI;13
2022;2;1;ESTADUAL;26;7;65000;ADVOGADO EWERTON;65
2022;2;1;ESTADUAL;9;6;4050;ALYSSON LIMA;40
2022;2;1;ESTADUAL;11;6;1167;MAXWELL MILAMAX;11
2022;2;1;ESTADUAL;18;6;1000;DIEGO GARCIA;10
2022;2;1;ESTADUAL;25;7;50111;DR. GILSON;50
2022;2;1;ESTADUAL;5;7;44002;CABO VANDAME;44
2022;2;1;ESTADUAL;5;7;22777;IAGO DE CARVALHO;22
2022;2;1;ESTADUAL;23;7;40001;RICARDO COUGO;40
2022;2;1;ESTADUAL;10;7;43777;NUBIA DO HERMES;43
2022;2;1;ESTADUAL;18;7;11456;MARIA DO BAIRRO;11
2022;2;1;ESTADUAL;25;7;27333;AUGUSTINHO SILVA;27
2022;2;1;ESTADUAL;20;6;1977;GARI ALDAIR;19
2022;2;1;ESTADUAL;11;6;3508;LEILA PIMENTA;35
2022;2;1;ESTADUAL;6;7;19888;ROSILEIDE ALVES;19
2022;2;1;ESTADUAL;26;6;7060;PROF WAGNER BARBOSA;70
2022;2;1;ESTADUAL;12;3;55;MARQUINHOS TRAD;55
2022;2;1;ESTADUAL;2;6;4321;GABY RONALSA;43
2022;2;1;ESTADUAL;5;7;15124;NELSON DA DENGUE;15
2022;2;1;ESTADUAL;11;7;90115;ZÉLIA SOUZA;90
2022;2;1;ESTADUAL;18;6;1827;MISSIONÁRIA LÁZARA;18
2022;2;1;ESTADUAL;16;7;18618;BRUNO PANTOJA;18
2022;2;1;ESTADUAL;11;6;5042;DÁRIO;50
2022;2;1;ESTADUAL;26;7;35188;GILMAR ROCHA;35
2022;2;1;ESTADUAL;15;6;9012;ALINE SILVEIRA;90
2022;2;1;ESTADUAL;2;3;14;COLLOR;14
2022;2;1;ESTADUAL;12;7;44567;REINALDO KASTANHA;44
2022;2;1;ESTADUAL;25;7;23007;LUIZ EDUARDO;23
2022;2;1;ESTADUAL;26;6;1975;JUAREZ JUVÊNCIO;19
2022;2;1;ESTADUAL;19;7;45544;DR. JOÃO BOSCO;45
2022;2;1;ESTADUAL;26;6;4088;DR AMILTON;40
2022;2;1;ESTADUAL;15;7;15192;SGTO BARBOSA;15
2022;2;1;ESTADUAL;10;7;13613;PAULO ROMÃO;13
2022;2;1;ESTADUAL;16;7;51060;ROBERTA LIMA;51
2022;2;1;ESTADUAL;10;7;22002;EGÍDIO;22
2022;2;1;ESTADUAL;19;7;44288;FRANCIANE MOTTA;44
2022;2;1;ESTADUAL;18;7;12100;PAOLA REIS;12
2022;2;1;ESTADUAL;5;7;50513;PROFESSOR WELITO;50
2022;2;1;ESTADUAL;16;7;28028;CLAUDIANO CAMPOS;28
2022;2;1;ESTADUAL;25;7;19555;PROFESSOR DANIEL DO ESPORTE;19
2022;2;1;ESTADUAL;25;6;1930;ADRIANA MALLEZAN;19
2022;2;1;ESTADUAL;11;7;13113;LUIZA DULCI;13
2022;2;1;ESTADUAL;9;7;45064;CHICO BALLA;45
2022;2;1;ESTADUAL;21;7;10789;FOGAÇA DO SITE O OBSERVADOR;10
2022;2;1;ESTADUAL;9;6;5511;HAMILTON CARNEIRO;55
2022;2;1;ESTADUAL;6;7;22194;ONEIDA PINHEIRO;22
2022;2;1;ESTADUAL;11;6;5012;GELEIA;50
2022;2;1;ESTADUAL;2;7;11122;JOANA MARIA;11
2022;2;1;ESTADUAL;7;8;40105;PROFESSOR FRANCELINO;40
2022;2;1;ESTADUAL;7;8;40400;RODRIGO DIAS;40
2022;2;1;ESTADUAL;6;7;13789;JULINHO;13
2022;2;1;ESTADUAL;15;7;13555;JÂNIO JÁ;13
2022;2;1;ESTADUAL;26;7;70800;PASTOR ZETTI;70
2022;2;1;ESTADUAL;4;7;10000;AROLDO LEITE;10
2022;2;1;ESTADUAL;6;6;3300;ALANA ROCHA;33
2022;2;1;ESTADUAL;5;7;55666;VERA DA SAÚDE;55
2022;2;1;ESTADUAL;19;7;13474;RAFAELA ALBERGARIA;13
2022;2;1;ESTADUAL;19;7;43789;SÉRGIO LUPPER;43
2022;2;1;ESTADUAL;9;7;35678;DR GUSTAVO;35
2022;2;1;ESTADUAL;16;6;3311;PASTOR EDILSON SOUZA;33
2022;2;1;ESTADUAL;12;7;50222;PATURI;50
2022;2;1;ESTADUAL;24;7;51131;MARINA SORRENTINO;51
2022;2;1;ESTADUAL;24;7;51500;PASTOR LAUDELINO DAS VANS;51
2022;2;1;ESTADUAL;26;6;2224;DRA CLÉO DE OLIVEIRA;22
2022;2;1;ESTADUAL;5;7;33312;NILMARA LEAL;33
2022;2;1;ESTADUAL;26;7;50580;PR. RIBAMAR PASSOS;50
2022;2;1;ESTADUAL;26;6;9009;ROMÁRIO;90
2022;2;1;ESTADUAL;16;7;12111;WILBER MATEUS;12
2022;2;1;ESTADUAL;26;6;2223;NANDO PINHEIRO;22
2022;2;1;ESTADUAL;26;7;23623;ROBERTO MORAIS;23
2022;2;1;ESTADUAL;17;6;1424;ROBERTO MARQUES;14
2022;2;1;ESTADUAL;9;6;9015;FLAVIA DELMONDES;90
2022;2;1;ESTADUAL;18;7;13122;MARCO SUKITA;13
2022;2;1;ESTADUAL;11;6;1119;PRETIN PRETÃO;11
2022;2;1;ESTADUAL;23;7;40678;RUBILAR TAVARES - JUQUINHA;40
2022;2;1;ESTADUAL;9;7;35321;WAMBERTO GOMES;35
2022;2;1;ESTADUAL;4;7;77882;ELZA LOPES ;77
2022;2;1;ESTADUAL;4;7;14456;DR LEIVO;14
2022;2;1;ESTADUAL;10;6;5013;ANTONIO GONÇALVES;50
2022;2;1;ESTADUAL;14;7;12777;PIMENTEL;12
2022;2;1;ESTADUAL;23;7;21021;LEO SILVESTRIN;21
2022;2;1;ESTADUAL;11;7;50050;VANDERLÉIA REIS;50
2022;2;1;ESTADUAL;26;7;35081;MARCOS VALLE;35
2022;2;1;ESTADUAL;5;7;50880;MAURÍCIO CITO;50
2022;2;1;ESTADUAL;20;7;45999;KLEBER RODRIGUES;45
2022;2;1;ESTADUAL;22;7;40231;GOVINDA DA LIMPEZA;40
2022;2;1;ESTADUAL;6;7;10010;LUP SOUZA;10
2022;2;1;ESTADUAL;18;6;1331;TADEU VENERI;13
2022;2;1;ESTADUAL;24;7;22190;ROBERTO SALUM;22
2022;2;1;ESTADUAL;12;7;22100;RAQUELLE TRUTIS;22
2022;2;1;ESTADUAL;19;6;7729;GIGI;77
2022;2;1;ESTADUAL;16;6;4044;ERIBERTO MEDEIROS;40
2022;2;1;ESTADUAL;22;7;15333;ALAN DO POVÃO;15
2022;2;1;ESTADUAL;1;7;51000;MAURICIO DO CHALÉ;51
2022;2;1;ESTADUAL;13;6;5111;CHAVEIRO GABRIEL;51
2022;2;1;ESTADUAL;9;6;1212;FLAVIA MORAIS;12
2022;2;1;ESTADUAL;19;6;1407;CASSIO LOPES;14
2022;2;1;ESTADUAL;23;6;4011;LAURO HAGEMANN;40
2022;2;1;ESTADUAL;19;6;2822;ALEXANDRE PIMENTEL;28
2022;2;1;ESTADUAL;26;7;50501;DJALMA NERY;50
2022;2;1;ESTADUAL;25;6;5599;DÊNISSON PEREIRA;55
2022;2;1;ESTADUAL;26;7;13321;HERIVELTO VELA;13
2022;2;1;ESTADUAL;23;7;55333;ANA QUADROS;55
2022;2;1;ESTADUAL;23;7;28200;TAILA PORTO;28
2022;2;1;ESTADUAL;18;6;5125;JEFERSON DA FUNERÁRIA;51
2022;2;1;ESTADUAL;8;6;4004;FLAVIA CYSNE;40
2022;2;1;ESTADUAL;6;7;55123;KIKO SAMPAIO;55
2022;2;1;ESTADUAL;15;7;44144;RENILDA FERREIRA;44
2022;2;1;ESTADUAL;9;6;4000;FABRIÇÃO;40
2022;2;1;ESTADUAL;9;7;11991;LAURA SISTERS;11
2022;2;1;ESTADUAL;15;7;10234;MARCIO ROBERTO;10
2022;2;1;ESTADUAL;18;7;13513;PAULO PORTO;13
2022;2;1;ESTADUAL;9;6;1920;DARIA CRISTINA;19
